English,Ga
   The next day John saw Jesus coming toward him and said 'Behold! The Lamb of God who takes away the sin of the world!',  Enɔ jetsɛremɔ lɛ Yohane na Yesu miiba eŋɔɔ ni ekɛɛ “Naa Nyɔŋmɔ Toobi lɛ ni woɔ je lɛ esha lɛ kɛyaa lɛ!
   This is He of whom I said 'After me comes a Man who is preferred before me for He was before me',  Mɔ nɛ ji mɔ ni mikɛɛ yɛ ehe akɛ ‘Nuu ko miiba yɛ misɛɛ ni etsɔ̃ mihiɛ ejaakɛ eyɛ dani miyɔɔ lɛ’
   I did not know Him but that He should be revealed to Israel therefore I came baptizing with water',  Ni mi lɛ́ mileee lɛ shi moŋ bɔ ni afee ni ajie lɛ kpo atsɔ̃ɔ Israel hewɔ ni miba mibaptisiɔ yɛ nu mli nɛɛ”
   And John bore witness saying 'I saw the Spirit descending from heaven like a dove and He remained upon Him',  Ni Yohane ye odase ekɛɛ “Mina Mumɔ lɛ yi shi kɛjɛ ŋwɛi tamɔ okpo ni ebahi enɔ
   I did not know Him but He who sent me to baptize with water said to me 'Upon whom you see the Spirit descending and remaining on Him this is He who baptizes with the Holy Spirit',  Ni mi lɛ mileee lɛ shi mɔ ni tsu mi akɛ mibaptisi yɛ nu mli lɛ lɛ nɔŋŋ ekɛɛ mi akɛ ‘Mɔ nɔ ni ooona akɛ Mumɔ lɛ yiɔ ni ehiɔ enɔ lɛ lɛ ji mɔ ni baptisiɔ yɛ Mumɔ Krɔŋkrɔŋ mli lɛ’
   And I have seen and testified that this is the Son of God',  Ni mina ni miye he odase akɛ Nyɔŋmɔ Bi lɛ nɛ
   Again the next day John stood with two of his disciples,  Asaŋ enɔ jetsɛremɔ lɛ Yohane kɛ ekaselɔi lɛ ateŋ mɛi enyɔ damɔ shi
   And looking at Jesus as He walked he said 'Behold the Lamb of God!',  y ni be ni Yesu hoɔ lɛ ekwɛ lɛ ni ekɛɛ “Naa Nyɔŋmɔ Toobi lɛ!”
   The two disciples heard him speak and they followed Jesus,  Ni kaselɔi enyɔ lɛ nu ewiemɔ lɛ ni amɛyanyiɛ Yesu sɛɛ
   Then Jesus turned and seeing them following said to them 'What do you seek?' They said to Him 'Rabbi' (which is to say when translated Teacher) 'where are You staying?',  Ni Yesu tsɔ̃ ehe ni be ni ena akɛ amɛnyiɛ esɛɛ lɛ ebi amɛ akɛ “Mɛni nyɛtaoɔ?” Ni amɛkɛɛ lɛ akɛ “Rabi” (eshishi ji Tsɔɔlɔ) “Nɛgbɛ ohiɔ?”
   He said to them 'Come and see' They came and saw where He was staying and remained with Him that day Now it was about the tenth hour,  Ekɛɛ amɛ akɛ “Nyɛbaa ni nyɛbakwɛa” No hewɔ lɛ amɛtee ni amɛyana he ni ehiɔ lɛ ni amɛkɛ lɛ hi shi nakai gbi lɛ Ni gbɛkɛ ŋmɛji ejwɛ mli ni
   One of the two who heard John speak and followed Him was Andrew Simon Peter's brother,  Mɛi enyɔ lɛ ni nu ni Yohane wie ni amɛyanyiɛ Yesu sɛɛ lɛ ateŋ mɔ kome ji Andrea Simon Petro nyɛmi lɛ
   He first found his own brother Simon and said to him 'We have found the Messiah' (which is translated the Christ),  Lɛ eyana lɛ diɛŋtsɛ enyɛmi Simon tsutsu ni ekɛɛ lɛ akɛ “Wɔna Mesia (ni eshishi ji Kristo) loo (mɔ ni afɔ lɛ mu) lɛ”
   And he brought him to Jesus Now when Jesus looked at him He said 'You are Simon the son of Jonah You shall be called Cephas' (which is translated A Stone),  Ni ekɛ lɛ ba Yesu ŋɔɔ Ni Yesu kwɛ lɛ ni ekɛɛ “Bo ji Simon Yona bi lɛ aaatsɛ bo Kefa (eshishi ji Petro loo tɛsaa)”
  The following day Jesus wanted to go to Galilee and He found Philip and said to him 'Follow Me',  Asaŋ enɔ jetsɛremɔ lɛ Yesu pɛ he yɛ Galileea ni eba Filipo ni ekɛɛ “Ena akɛ”
   Now Philip was from Bethsaida the city of Andrew and Peter,  Ni Filipo lɛ he Betzaida lɛ ni Andrea ni Petro mɛi
   Philip found Nathanael and said to him 'We have found Him of whom Moses in the law and also the prophets wrote Jesus of Nazareth the son of Joseph',  Filipo eba Nathanael ni ekɛɛ “Wɔna he ni Mosa lɛ yɛ Mla lɛ ni yesi Yesu Nazareth Yosɛf bi lɛ”
   And Nathanael said to him 'Can anything good come out of Nazareth?' Philip said to him 'Come and see',  Ni Nathanael eba lɛ akɛ “Loo Nazareth eya naa fɛɛ?” Filipo ekɛɛ “Nyɛbaa ni nyɛbakwɛa”
   Jesus saw Nathanael coming toward Him and said of him 'Behold an Israelite indeed in whom is no deceit!',  Yesu na Nathanael ye nɔ eŋɔɔ ni ekɛɛ nɔ “Naa ɔyɛ Israelite he nɔ neɛ ekɛ naa bi”
   Nathanael said to Him 'How do You know me?' Jesus answered and said to him 'Before Philip called you when you were under the fig tree I saw you',  Nathanael eba lɛ akɛ “Dɛn na ohi tsɔ?” Yesu ye nɔ “Fɛlɛma na Philip ba ɔ lɛ nɛbo kɛ amɛ lɛ yɛ kwaele jɛmɛ mina”
   Nathanael answered and said to Him 'Rabbi You are the Son of God! You are the King of Israel!',  Nathanael ye nɔ “Rabi oji Nyɔŋmɔ Bi lɛ! Oji Israel Onya!”
   Jesus answered and said to him 'Because I said to you 'I saw you under the fig tree do you believe? You will see greater things than these',  Yesu ye nɔ “Mɛlɛ jɛmɔ lɛ ‘Mina nɛbo kɛ amɛ lɛ yɛ kwaele jɛmɛ’ Lɛ bɔ ɔ bɔ he nyɛka ahyɛ lɛ
   And He said to him 'Most assuredly I say to you hereafter you shall see heaven open and the angels of God ascending and descending upon the Son of Man',  Ni ekɛɛ “Mɛda nu miye jɛmɔ lɛ ni he lɛ ye nɛbɔɔ gbɔmɔ bɛ ejahe lɛ ni nyɛmli Nyoŋmɔ ye ye lɛ kɛ fɛfɛ wɔna ejahe nyɛ”
   On the third day there was a wedding in Cana of Galilee and the mother of Jesus was there,  Enɔ gbii etɛ̃ lɛ akpee yoo yɛ Kana yɛ Galilea ni Yesu nyɛ yɛ jɛi
   Now both Jesus and His disciples were invited to the wedding,  Ni akpee Yesu hu kɛ ekaselɔi lɛ kɛtee yookpeemɔ lɛ
   And when they ran out of wine the mother of Jesus said to Him 'They have no wine',  Ni be ni wain lɛ tã lɛ Yesu nyɛ kɛɛ lɛ akɛ “Amɛbɛ wain”
   Jesus said to her 'Woman what does your concern have to do with Me? My hour has not yet come',  a Yesu kɛɛ lɛ akɛ “Ohe sane mɛ ji no Awo? Miŋmlɛtswaa lɛ shɛko”
   His mother said to the servants 'Whatever He says to you do it',  Enyɛ kɛɛ tsuji lɛ akɛ “Nɔ fɛɛ nɔ ni eeekɛɛ nyɛ lɛ nyɛfea”
   Now there were set there six waterpots of stone according to the manner of purification of the Jews containing twenty or thirty gallons apiece,  b Ni tɛ botokui ekpaa mamɔ shi yɛ jɛi yɛ Yudafoi lɛ ahetsuumɔ hewɔ ekome yeɔ susumɔ gbɛi enyɔ loo etɛ̃
   Jesus said to them 'Fill the waterpots with water' And they filled them up to the brim,  Yesu kɛɛ amɛ akɛ “Nyɛwoa botokui lɛ amli nu obɔ̃bɔ̃” Ni amɛwo amɛ obɔ̃bɔ̃ɔbɔ̃
   And He said to them 'Draw some out now and take it to the master of the feast' And they took it,  Ni ekɛɛ amɛ akɛ “Nyɛyɛa eko nyɛyahãa piafonyo lɛ” Ni amɛyɛ kɛtee
   When the master of the feast had tasted the water that was made wine and did not know where it came from (but the servants who had drawn the water knew) the master of the feast called the bridegroom,  Shi be ni piafonyo lɛ sa enaa nu ni etsɔ̃ wain ni eleee he ni jɛ shi tsuji lɛ ni yɛ nu lɛ kɛkɛ le lɛ etsɛ ayɛmforowu lɛ
   And he said to him 'Every man at the beginning sets out the good wine and when the guests have well drunk then the inferior You have kept the good wine until now!',  ni ekɛɛ lɛ akɛ “Mɔ fɛɛ mɔ lɛ wain kpakpa ekɛbamaa shi klɛŋklɛŋ ni kɛ mɛi lɛ etɔrɔ lɛ no dani ekɛ nɔ ni eŋɔɔɔ lɛ baa shi bo lɛ okɛ wain kpakpa lɛ moŋ eto kɛbashi benɛ”
   This beginning of signs Jesus did in Cana of Galilee and manifested His glory and His disciples believed in Him,  Enɛ Yesu fee yɛ Kana yɛ Galilea ekɛje ekadii ashishi ni ekɛ enunyam lɛ tsɔ̃ɔ ni ekaselɔi lɛ he enɔ amɛye
   After this He went down to Capernaum He His mother His brothers and His disciples and they did not stay there many days,  Enɛ sɛɛ lɛ eyiŋ etee Kapernaum lɛ kɛ enyɛ kɛ enyɛmimɛi kɛ ekaselɔi lɛ shi amɛyeee gbii pii ko yɛ jɛi
   Now the Passover of the Jews was at hand and Jesus went up to Jerusalem,  Yesu tsuu Sɔlemɔ we lɛ he
   And He found in the temple those who sold oxen and sheep and doves and the money changers doing business,  Ni eyana mɛi ni hɔ̃ɔ tsinai kɛ toi kɛ okpoi kɛ mɛi ni tsakeɔ shika hu tara shi yɛ amɛkpɔlɔ̃i ahe yɛ Sɔlemɔ we lɛ
   When He had made a whip of cords He drove them all out of the temple with the sheep and the oxen and poured out the changers' money and overturned the tables,  Ni ekɛ taŋkpei bibii fee kpelebii ni ekɛshwie amɛ fɛɛ kɛ toi kɛ tsinai lɛ kɛje Sɔlemɔ we lɛ ni etsɔ̃ shikatsakelɔi lɛ ashika lɛ eshwie shi ni etsirɛ okpɔlɔi lɛ etswia shi
   And He said to those who sold doves 'Take these things away! Do not make My Father's house a house of merchandise!',  ni ekɛɛ mɛi ni hɔ̃ɔ okpoi lɛ akɛ “Nyɛjiea nii nɛɛ kɛjea biɛ nyɛkɛ miTsɛ we lɛ akafea jara nɔ”
   Then His disciples remembered that it was written 'Zeal for Your house has eaten Me up',  f Shi ekaselɔi lɛ kai akɛ aŋma akɛ “Owe lɛ he hiɛdɔɔ lɛ eye mi”
   So the Jews answered and said to Him 'What sign do You show to us since You do these things?',  g Kɛkɛ ni Yudafoi lɛ bi lɛ akɛ “Mɛɛ okadi okɛtsɔ̃ɔ wɔ akɛ oyɛ hegbɛ akɛ ofeɔ enɛɛmɛi nɛɛ?”
   Jesus answered and said to them 'Destroy this temple and in three days I will raise it up',  h Yesu here nɔ ni ekɛɛ amɛ akɛ “Nyɛkumɔa sɔlemɔtsu nɛɛ ni gbii etɛ̃ mli lɛ mama ekoŋŋ”
   Then the Jews said 'It has taken forty-six years to build this temple and will You raise it up in three days?',  Kɛkɛ lɛ Yudafoi lɛ kɛɛ “Afii nyɔŋmai ejwɛ kɛ ekpaa akɛma Sɔlemɔtsu nɛɛ ni bo lɛ gbii etɛ̃ okɛaama lo?”
   But He was speaking of the temple of His body,  Shi lɛ lɛ egbɔmɔtso akɛ Sɔlemɔtsu lɛ he ewieɔ lɛ
   Therefore when He had risen from the dead His disciples remembered that He had said this to them and they believed the Scripture and the word which Jesus had said,  No hewɔ lɛ be ni ete shi kɛjɛ gbohii ateŋ lɛ ekaselɔi lɛ kai akɛ ekɛɛ enɛ ni amɛhe ŋmalɛ lɛ kɛ wiemɔ ni Yesu wie lɛ amɛye
   Now when He was in Jerusalem at the Passover during the feast many believed in His name when they saw the signs which He did,  Agbɛnɛ be ni Yesu yɔɔ Yerusalɛm yɛ Hehoo Gbijurɔ lɛ mli lɛ mɛi pii na okadii ni efee lɛ ni amɛhe egbɛi lɛ nɔ amɛye
   But Jesus did not commit Himself to them because He knew all men,  Shi Yesu diɛŋtsɛ lɛ ekɛ ehe efɔ̃ɔɔ amɛnɔ ejaakɛ ele amɛ fɛɛ amɛsu
   and had no need that anyone should testify of man for He knew what was in man,  j Ni ehe ehĩaaa akɛ mɔ ko aye gbɔmɔ he odase ahã lɛ ejaakɛ lɛ diɛŋtsɛ ele nɔ ni yɔɔ gbɔmɔ tsui mli
   There was a man of the Pharisees named Nicodemus a ruler of the Jews,  Nuu ko yɛ ni jɛ Farisifoi lɛ ateŋ ni atsɛɔ lɛ Nikodemo ni ji Yudafoi lɛ anukpa
   This man came to Jesus by night and said to Him 'Rabbi we know that You are a teacher come from God for no one can do these signs that You do unless God is with him',  lɛ eba Yesu ŋɔɔ nyɔɔŋ ni ebakɛɛ lɛ akɛ “Rabi wɔle akɛ tsɔɔlɔ ni jɛ Nyɔŋmɔ ŋɔɔ ba ji bo ejaakɛ mɔ ko nyɛŋ afee okadii ni ofeɔ nɛɛ akɛ ja Nyɔŋmɔ kɛ mɔ lɛ yɛ”
   Jesus answered and said to him 'Most assuredly I say to you unless one is born again he cannot see the kingdom of God',  b Yesu here nɔ ni ekɛɛ lɛ akɛ “Anɔkwale mikɛɔ bo akɛ kɛji ajɛɛɛ ŋwɛi afɔɔɔ mɔ ko lɛ enyɛŋ Nyɔŋmɔ maŋtsɛyeli lɛ ena”
   Nicodemus said to Him 'How can a man be born when he is old? Can he enter a second time into his mother's womb and be born?',  Nikodemo bi lɛ akɛ “Te aaafee tɛŋŋ ni be ni gbɔmɔ egbɔ lɛ ni aaafɔ lɛŋ? Ani eeenyɛ ebote enyɛ musu mli ekoŋŋ ni afɔ lɛ?”
   Jesus answered 'Most assuredly I say to you unless one is born of water and the Spirit he cannot enter the kingdom of God',  c Yesu here nɔ akɛ “Miikɛɛ bo anɔkwale akɛ nɔ ni wɔle lɛ no wɔwieɔ ni nɔ ni wɔna lɛ no he odase wɔyeɔ shi nyɛŋɔɔɔ wɔdase lɛ
   That which is born of the flesh is flesh and that which is born of the Spirit is spirit,  d Nɔ ni ajɛ heloo mli afɔ lɛ heloo ni ni nɔ ni ajɛ Mumɔ mli afɔ lɛ mumɔ ni
   Do not marvel that I said to you 'You must be born again',  Ohiɛ akafee bo yaa akɛ mikɛɛ bo akɛ 'ja ajɛ ŋwɛi afɔ nyɛ' lɛ
   The wind blows where it wishes and you hear the sound of it but cannot tell where it comes from and where it goes So is everyone who is born of the Spirit,  Kɔɔyɔɔ lɛ he ni esumɔɔ etswaa kɛyaa ni egbɛɛmɔ onuɔ shi oleee he ni ejɛɔ kɛ he ni eyaa nakai ji mɔ fɛɛ mɔ ni ajɛ Mumɔ mli afɔ lɛ lɛ
   Nicodemus answered and said to Him 'How can these things be?',  Nikodemo here nɔ ni ebi lɛ akɛ “Te aaafee tɛŋŋ ni nii nɛɛ aaanyɛ aba mli hu?”
   Jesus answered and said to him 'Are you the teacher of Israel and do not know these things?',  Yesu here nɔ ni ekɛɛ lɛ akɛ “Te Israel tsɔɔlɔ ji bo? Ni oleee enɛɛmɛi nɛɛ?
   Most assuredly I say to you we speak what we know and testify what we have seen and you do not receive our witness,  e Miikɛɛ bo anɔkwale akɛ nɔ ni wɔle lɛ no wɔwieɔ ni nɔ ni wɔna lɛ no he odase wɔyeɔ shi nyɛŋɔɔɔ wɔdase lɛ
   If I have told you earthly things and you do not believe how will you believe if I tell you heavenly things?,  Kɛ mikɛ nyɛ wie shikpɔŋ nɔ nii ahe ni nyɛheee nyɛyeee lɛ te aaafee tɛŋŋ kɛji mikɛ nyɛ wie ŋwɛinii ahe ni nyɛaahe nyɛyeŋ?
   No one has ascended to heaven but He who came down from heaven that is the Son of Man who is in heaven,  f Ni mɔ ko ekwɔko kɛyako ŋwɛi akɛ ja mɔ ni jɛ ŋwɛi kpeleke shi lɛ Gbɔmɔ Bi lɛ ni yɔɔ ŋwɛi lɛ
   And as Moses lifted up the serpent in the wilderness even so must the Son of Man be lifted up,  g Ni bɔ ni Mose wo onufu lɛ nɔ yɛ ŋa lɛ nɔ lɛ nakai nɔŋŋ sa akɛ awo Gbɔmɔ Bi lɛ nɔ
   that whoever believes in Him should not perish but have eternal life,  koni mɔ fɛɛ mɔ ni heɔ enɔ eyeɔ lɛ ana naanɔ wala
   For God so loved the world that He gave His only begotten Son that whoever believes in Him should not perish but have everlasting life,  h “Ejaakɛ nɛkɛ Nyɔŋmɔ sumɔ je lɛ akɛ eŋɔ eBi koome lɛ ehã koni mɔ fɛɛ mɔ ni heɔ enɔ yeɔ lɛ hiɛ akakpãtã shi moŋ ena naanɔ wala
   For God did not send His Son into the world to condemn the world but that the world through Him might be saved,  i Ejaakɛ Nyɔŋmɔ tsuuu eBi lɛ kɛbaaa je lɛ mli koni ebakojo je lɛ shi moŋ koni atsɔ̃ enɔ ahere je lɛ yiwala
   He who believes in Him is not condemned but he who does not believe is condemned already because he has not believed in the name of the only begotten Son of God,  j Mɔ ni heɔ enɔ yeɔ lɛ akojooo lɛ shi mɔ ni heee yeee lɛ akojo lɛ momo ejaakɛ eheko Nyɔŋmɔ Bi koome lɛ gbɛi lɛ nɔ eyeko
   And this is the condemnation that the light has come into the world and men loved darkness rather than light because their deeds were evil,  k Shi kojomɔ lɛ nɛ akɛ la lɛ eba je lɛ mli ni gbɔmɛi sumɔɔ duŋ lɛ moŋ fe la lɛ ejaakɛ amɛnitsumɔi lɛ efɔ̃ɔji ni
   For everyone practicing evil hates the light and does not come to the light lest his deeds should be exposed,  l ni mɔ fɛɛ mɔ ni tsuɔ nifɔɔjianii lɛ nyɛɔ la lɛ ni ebaaa la lɛ he koni akajie enitsumɔi lɛ ashi
   But he who does the truth comes to the light that his deeds may be clearly seen that they have been done in God,  Shi mɔ ni feɔ anɔkwalenii lɛ baa la lɛ he koni enitsumɔi lɛ aje kpo ejaakɛ Nyɔŋmɔ mli atsu yɛ
   After these things Jesus and His disciples came into the land of Judea and there He remained with them and baptized,  m Nii nɛɛ asɛɛ lɛ Yesu kɛ ekaselɔi lɛ ba Yudea shikpɔŋ lɛ nɔ ni ekɛ amɛ bahi jɛi ni ebaptisiɔ
   Now John also was baptizing in Aenon near Salim because there was much water there And they came and were baptized,  Ni Yohane hu miibaptisi yɛ Ainon yɛ Salim masɛi ejaakɛ nu pii yɛ jɛi ni mɛi baa ni abaptisiɔ amɛ
   For John had not yet been thrown into prison,  n ejaakɛ no mli lɛ anako awo Yohane tsuŋ
   Then there arose a dispute between some of John's disciples and the Jews about purification,  Agbɛnɛ naataamɔ bate shi yɛ Yohane kaselɔi lɛ kɛ Yudafonyo ko teŋ yɛ hetsuumɔ he
   And they came to John and said to him 'Rabbi He who was with you beyond the Jordan to whom you have testified behold He is baptizing and all are coming to Him!',  o Ni amɛba Yohane ŋɔɔ ni amɛbakɛɛ lɛ akɛ “Rabi mɔ ni kɛ bo hi Yordan sɛɛ ni oye ehe odase lɛ naa lɛ diɛŋtsɛ eebaptisi ni mɛi fɛɛ miiya eŋɔɔ”
   John answered and said 'A man can receive nothing unless it has been given to him from heaven',  p Yohane here nɔ ni ekɛɛ “Gbɔmɔ nyɛŋ ana nɔ ko akɛ ja ajɛ ŋwɛi akɛhã lɛ
   You yourselves bear me witness that I said 'I am not the Christ' but 'I have been sent before Him',  q Nyɛ diɛŋtsɛ nyɛmiiye mi odase akɛ mikɛɛ akɛ jeee mi ji Kristo lɛ shi moŋ atsu mi kɛtsɔ̃ ehiɛ
   He who has the bride is the bridegroom but the friend who stands and hears him rejoices greatly because of the bridegroom's voice Therefore this joy of mine is fulfilled,  r Mɔ ni hiɛ ayɛmforo lɛ lɛ ji ayɛmforowu shi ayɛmforowu lɛ shieŋtsɛ ni damɔ shi boɔ lɛ toi lɛ nya enyaa yɛ ayɛmforowu lɛ gbee hewɔ No hewɔ lɛ nɛkɛ minyamɔ nɛɛ eba mli
   He must increase but I must decrease,  Lɛ lɛ ja eshwere ni mi lɛ minɔ gbɔ
   He who comes from above is above all he who is of the earth is earthly and speaks of the earth He who comes from heaven is above all,  s Mɔ ni jɛ ŋwɛi ba lɛ efe mɛi fɛɛ Mɔ ni jɛ shikpɔŋ nɔ lɛ shikpɔŋ lɛ nɔ ejɛ ni shikpɔŋ lɛ he ewieɔ Mɔ ni jɛ ŋwɛi ba lɛ efe mɛi fɛɛ
   And what He has seen and heard that He testifies and no one receives His testimony,  ni nɔ ni ena ni enu lɛ no he odase eyeɔ ni mɔ ko mɔ ko eŋɔɔɔ edase lɛ
   He who has received His testimony has certified that God is true,  Mɔ ni ŋɔɔ edase lɛ esɔo naa akɛ anɔkwafo ji Nyɔŋmɔ
   For He whom God has sent speaks the words of God for God does not give the Spirit by measure,  t Ejaakɛ mɔ ni Nyɔŋmɔ tsu lɛ Nyɔŋmɔ wiemɔi ewieɔ ejaakɛ jeee susumɔ Nyɔŋmɔ susuɔ Mumɔ lɛ ehãa lɛ
   The Father loves the Son and has given all things into His hand,  u Tsɛ lɛ sumɔɔ Bi lɛ ni etu nii fɛɛ ewo edɛŋ
   He who believes in the Son has everlasting life and he who does not believe the Son shall not see life but the wrath of God abides on him,  Mɔ ni heɔ Bi lɛ nɔ eyeɔ lɛ eyɛ naanɔ wala shi mɔ ni booo Bi lɛ toi lɛ enaŋ wala shi moŋ Nyɔŋmɔ mlifu hiɔ enɔ
   Therefore when the Lord knew that the Pharisees had heard that Jesus made and baptized more disciples than John,  Agbɛnɛ be ni Yesu na le akɛ Farisifoi lɛ enu akɛ eena kaselɔi ni eebaptisi mɛi babaoo fe Yohane
   though Jesus Himself did not baptize but His disciples,  tsɛbelɛ lɛ Yesu lɛ diɛŋtsɛ ebaptisiii shi moŋ ekaselɔi lɛ ni baptisiɔ lɛ
   He left Judea and departed again to Galilee,  eje Yudea ni eyiŋ etee Galilea ekoŋŋ
   But He needed to go through Samaria,  Shi ja etsɔ̃ Samaria
   So He came to a city of Samaria which is called Sychar near the plot of ground that Jacob gave to his son Joseph,  Agbɛnɛ ebashɛ Samaria maŋ ko ni atsɛɔ lɛ Sikar ni bɛŋkɛ shikpɔŋ kukuoo ko ni Yakob kɛhã ebi Yosef lɛ masɛi
   Now Jacob’s well was there Jesus therefore being wearied from His journey sat thus by the well It was about the sixth hour,  Shi Yakob nubu lɛ yɛ jɛi Ni akɛni gbɛnyiɛmɔ lɛ etɔ Yesu hewɔ lɛ eho eshwata shi yɛ nubu lɛ he Ebashɛ jɛi aaafee ŋmɛlɛ nyɔŋma kɛ enyɔ mli
